Player,Total,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mychal Thompson,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Vincent,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buck Williams,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.053,,,0.003,,0.001,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Ruland,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Cummings,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,0.177,0.012,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alton Lister,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Drew,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiki Vandeweghe,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Aguirre,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Laimbeer,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Green,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Jordan,8.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172,,0.576,0.831,0.704,0.613,0.928,0.938,0.577,,0.011,0.986,0.832,0.934,,,,0.013,,,,,,,,,,,,,,,,,
Ralph Sampson,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Natt,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakeem Olajuwon,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.247,0.036,0.05,0.211,0.07,0.004,,0.66,0.88,0.14,0.211,0.083,,0.003,,,,,,,,,,,,,,,,,,,,
Andrew Toney,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
